Student_ID,Age,Gender,Grade,Section,Average_Score,Math_Score,Science_Score,Language_Score,Exam_Attendance,Assignments_Completed,Failed_Subjects,Attendance_Percentage,Days_Absent,Late_Coming,Participation_in_Activities,Disciplinary_Actions,Homework_Completion,Class_Engagement,Parent_Education_Level,Family_Income,Siblings_in_School,Parental_Involvement,Dropout_Risk
1,16,Male,9,B,76.11,41.04,61.3,93.04,1,12,2,64.78,19,2,2,2,69.02,Medium,High School,4591,3,Medium,High
2,13,Female,11,D,54.83,63.32,40.5,66.07,1,11,0,94.45,7,14,6,1,50.04,Medium,Graduate,5868,3,Medium,Low
3,14,Female,10,B,94.82,26.69,40.97,87.17,1,4,3,80.42,33,2,1,2,91.78,Low,Graduate,8803,1,Medium,High
4,16,Male,10,A,89.42,97.76,90.2,95.51,1,18,0,92.73,18,10,9,3,50.0,Low,Graduate,4718,0,Medium,Low
5,12,Female,9,A,57.97,52.88,44.92,91.19,1,7,0,59.97,47,11,9,3,90.39,High,High School,2739,3,Medium,High
6,17,Male,9,A,99.5,45.31,21.87,66.97,1,11,0,90.19,16,6,3,1,86.37,Low,High School,5675,2,Low,Low
7,14,Female,11,B,33.64,62.02,63.18,79.72,1,4,0,58.92,38,15,5,1,56.05,High,High School,3210,2,Medium,High
8,14,Female,8,D,85.2,25.2,97.67,77.7,1,11,2,87.16,49,8,6,2,81.02,High,High School,3261,1,Medium,High
9,16,Male,11,A,60.37,88.04,26.33,84.24,1,10,2,57.73,26,10,4,3,50.56,Low,Post-Graduate,3078,2,High,High
10,11,Male,8,C,60.33,56.82,42.9,38.31,1,4,3,67.15,17,6,1,2,61.18,Medium,High School,8760,0,Medium,High
11,12,Male,8,A,41.91,34.27,57.56,20.17,1,7,2,73.81,0,9,0,1,62.05,High,Post-Graduate,8053,2,Low,High
12,16,Female,8,D,66.04,32.94,86.44,60.79,1,15,1,95.94,48,17,7,4,99.04,High,High School,5868,1,Low,Low
13,12,Female,11,A,35.93,48.88,41.51,81.24,1,19,1,86.59,31,12,3,4,78.54,Medium,Graduate,8414,0,High,High
14,12,Female,6,C,73.16,65.87,47.49,30.01,0,2,0,64.09,19,0,4,3,50.45,Low,High School,6975,1,Medium,High
15,17,Male,6,A,46.91,53.35,50.76,62.62,1,5,1,72.32,3,5,3,4,56.44,Low,Graduate,8407,3,Medium,High
16,14,Male,10,A,80.74,67.74,50.37,45.15,1,4,2,67.5,39,14,9,2,59.59,Medium,High School,4693,0,Medium,High
17,13,Male,6,D,72.52,76.44,36.03,87.06,1,9,0,96.99,28,14,5,4,91.09,High,Graduate,7956,2,Medium,Low
18,17,Male,6,A,82.25,79.88,93.25,28.02,1,11,1,58.73,4,18,3,0,83.94,Medium,Graduate,9124,2,Medium,High
19,17,Female,8,A,82.48,52.08,83.43,87.83,1,14,3,95.78,35,16,2,2,74.16,Medium,Graduate,9379,1,High,High
20,12,Female,8,B,43.77,77.36,98.05,68.86,1,2,2,91.39,24,0,3,2,90.54,Medium,Graduate,3483,2,Medium,High
21,15,Female,9,D,30.05,31.32,49.68,93.56,1,19,0,56.43,5,14,6,0,73.7,Low,High School,3968,0,High,High
22,14,Male,8,D,55.6,61.05,23.62,94.85,1,3,0,63.66,12,13,9,3,90.8,Low,Post-Graduate,6206,3,Low,High
23,11,Other,11,D,94.33,25.8,29.24,84.71,1,6,2,85.52,16,5,0,3,60.96,Medium,Graduate,5471,2,High,High
24,17,Female,9,D,70.45,39.53,48.6,62.41,1,0,2,85.36,29,2,2,2,96.46,Low,High School,3615,3,High,High
25,13,Other,9,A,80.93,66.65,92.89,31.4,1,7,3,61.68,38,13,2,3,97.86,Low,Illiterate,7154,1,Medium,High
26,15,Female,6,C,91.57,79.23,98.49,38.03,1,16,1,81.68,11,12,8,2,81.89,Medium,Graduate,8731,0,Medium,Low
27,15,Male,8,C,93.42,27.62,85.76,53.42,1,19,2,84.37,23,8,5,2,81.69,Medium,High School,2126,0,Medium,High
28,11,Male,6,B,67.03,36.57,39.07,78.32,1,10,2,53.6,3,11,9,1,78.26,Low,High School,7715,3,Medium,High
29,17,Female,8,A,67.87,99.35,72.78,63.59,1,6,3,69.05,2,14,0,4,71.64,High,High School,2081,1,High,High
30,13,Male,6,D,89.57,47.01,67.73,55.06,1,10,2,95.31,13,19,1,4,58.94,Medium,High School,6884,2,Medium,High
31,14,Male,6,D,86.52,42.72,85.86,58.2,1,10,0,95.02,30,0,6,0,59.64,Medium,High School,7379,1,Medium,Low
32,10,Female,6,C,78.92,26.82,60.78,79.32,1,14,3,83.09,16,10,1,2,82.62,Medium,Graduate,3599,0,Medium,High
33,13,Female,11,B,72.31,75.59,45.45,22.75,1,5,2,82.63,7,13,8,4,73.36,Medium,Graduate,2796,0,Medium,High
34,11,Female,10,A,73.21,60.66,21.54,55.41,1,18,2,92.77,24,1,1,3,61.28,Medium,High School,9968,0,Low,High
35,15,Male,6,B,55.4,32.6,83.6,65.82,1,12,0,67.11,10,7,3,3,54.6,High,Illiterate,9984,1,High,High
36,14,Male,7,A,88.86,70.63,62.42,67.1,1,15,0,52.48,25,10,1,4,97.96,High,High School,3810,3,Medium,High
37,13,Female,7,B,73.24,62.06,62.73,69.49,1,11,3,92.32,25,19,7,2,84.42,Medium,Graduate,3224,1,Low,High
38,10,Other,7,B,45.65,65.2,96.56,24.28,1,18,0,65.61,43,11,0,3,59.54,Medium,Graduate,6274,3,High,High
39,10,Female,11,D,46.79,99.59,58.9,64.64,1,18,0,83.64,29,16,3,4,87.48,High,Graduate,7810,1,Low,High
40,12,Other,9,C,90.31,22.29,45.26,64.04,1,6,0,74.41,48,11,7,0,58.46,Medium,Graduate,8226,1,Medium,High
41,12,Female,6,D,73.8,93.2,47.19,88.39,1,17,2,57.24,9,19,1,1,79.46,Medium,Graduate,5219,2,Medium,High
42,16,Female,7,C,57.91,87.35,20.94,80.81,1,13,2,70.92,26,9,3,4,78.36,High,Illiterate,6034,2,High,High
43,11,Male,11,B,43.1,53.23,29.79,22.5,1,13,1,63.13,8,2,0,4,55.41,Medium,Graduate,5009,0,Low,High
44,17,Female,9,A,72.72,90.48,23.5,64.47,1,15,2,50.41,25,3,2,2,83.19,Medium,Graduate,4747,0,Medium,High
45,13,Female,7,D,42.9,71.88,39.46,75.28,1,17,3,76.2,3,4,8,4,77.86,High,Post-Graduate,3349,2,Low,High
46,13,Female,8,A,62.91,91.15,25.17,66.41,1,8,0,78.2,4,15,4,4,90.1,Medium,Post-Graduate,2373,1,Medium,Low
47,17,Female,10,D,77.43,67.58,46.49,74.11,1,3,2,65.3,36,9,5,3,95.41,Low,Post-Graduate,9207,0,Medium,High
48,16,Female,6,D,69.58,37.29,30.09,29.33,1,6,2,64.71,15,3,4,1,85.36,Medium,Graduate,2014,3,Medium,High
49,15,Male,10,D,94.55,66.1,93.43,33.54,1,10,1,72.35,12,11,0,3,65.17,High,High School,6301,2,Low,High
50,15,Female,10,A,32.78,34.32,95.07,66.62,1,5,3,80.89,1,14,3,0,66.36,Low,Illiterate,2825,0,Medium,High
51,16,Male,8,D,49.59,31.27,68.28,84.05,1,19,3,98.43,17,1,3,0,65.6,High,Post-Graduate,7135,3,High,High
52,15,Female,8,D,34.0,72.32,84.44,22.08,1,11,0,73.89,26,0,4,3,93.18,High,Illiterate,5409,2,Medium,High
53,12,Male,8,D,43.62,95.8,74.18,54.9,1,11,3,96.68,36,19,2,4,74.16,High,High School,6771,1,Low,High
54,13,Male,9,A,38.68,67.08,84.89,99.36,1,11,2,98.75,36,12,3,4,97.93,Medium,Illiterate,6472,1,High,High
55,16,Male,7,D,81.29,83.66,71.18,81.26,1,13,3,80.41,48,17,3,0,82.75,Medium,Illiterate,5601,2,Medium,High
56,13,Female,6,A,55.86,33.47,54.42,56.01,1,9,1,78.03,8,8,2,2,80.14,Medium,Graduate,9743,1,Medium,Low
57,17,Male,8,C,94.75,72.34,89.9,27.84,1,1,3,53.01,1,14,7,0,94.94,Medium,High School,4185,0,Medium,High
58,10,Male,11,D,31.64,78.64,55.05,48.73,1,19,2,61.16,29,17,6,0,79.48,Medium,Graduate,2798,0,High,High
59,12,Female,6,B,75.7,23.33,51.7,32.35,1,11,2,99.91,17,1,5,0,91.14,High,Graduate,6663,2,Medium,High
60,14,Male,6,C,97.94,27.77,69.95,93.66,0,16,3,87.3,39,19,5,3,74.94,Low,Graduate,9237,2,Low,High
61,12,Other,6,A,42.31,82.53,95.03,74.85,1,7,2,83.4,43,18,6,2,79.93,Medium,High School,2082,0,Medium,High
62,16,Other,8,B,60.97,55.2,55.38,88.46,1,19,1,78.33,37,3,1,3,62.96,Medium,High School,5578,2,Medium,Low
63,14,Female,8,A,79.13,52.45,66.0,91.8,1,1,3,84.14,12,17,9,3,93.82,High,Graduate,3873,2,Medium,High
64,10,Male,7,A,74.32,93.63,59.39,68.55,1,11,3,84.04,23,13,9,3,63.9,High,High School,7270,2,Medium,High
65,16,Female,8,D,69.62,99.36,92.78,20.53,1,12,3,61.08,25,12,2,0,98.17,Medium,High School,5570,2,Medium,High
66,11,Male,8,B,52.87,81.15,74.14,64.49,1,0,2,89.24,30,6,7,2,69.28,High,High School,4834,1,Medium,High
67,13,Female,6,A,80.97,83.41,53.57,84.2,1,17,2,73.26,10,13,2,1,71.76,Medium,Post-Graduate,6846,2,Medium,High
68,10,Male,7,C,75.73,36.67,68.55,45.16,1,13,3,85.08,7,18,2,2,74.6,Medium,Post-Graduate,6341,0,Medium,High
69,13,Other,10,D,41.4,35.38,32.48,94.22,0,11,1,67.38,31,12,4,2,69.17,Medium,Post-Graduate,8596,1,High,High
70,15,Male,8,C,97.49,98.45,47.36,99.75,1,19,0,78.87,24,12,7,3,78.75,Medium,High School,3306,0,Medium,Low
71,11,Female,11,C,68.9,75.61,78.89,63.94,1,3,0,86.76,20,13,8,2,82.5,High,High School,3543,1,Low,Low
72,11,Female,8,D,66.78,74.94,64.99,62.5,1,13,2,80.59,30,17,4,2,58.61,High,High School,3149,3,High,High
73,10,Female,10,A,89.38,42.9,45.14,72.42,1,17,1,81.67,18,18,5,3,91.53,High,Illiterate,8000,3,Medium,Low
74,11,Male,6,C,74.83,90.92,48.98,65.31,1,3,2,59.26,13,1,2,1,83.05,High,High School,6037,3,High,High
75,14,Other,7,A,35.21,23.56,84.78,32.84,1,7,3,75.29,23,9,9,2,87.2,High,Illiterate,8631,1,Medium,High
76,11,Female,6,A,65.46,41.97,63.27,41.69,0,17,2,63.72,13,10,2,3,97.0,High,Graduate,3094,3,Medium,High
77,13,Female,9,D,84.64,34.41,39.1,36.14,1,3,1,68.51,11,12,1,0,90.47,Medium,High School,8040,2,High,High
78,13,Male,8,C,79.0,76.89,43.75,25.77,1,0,0,90.09,15,16,1,4,80.85,Medium,Graduate,8850,3,Medium,Low
79,16,Female,11,C,97.95,77.23,57.43,31.23,0,5,1,52.38,30,7,5,4,65.18,High,Post-Graduate,2567,1,Low,High
80,13,Male,9,D,31.74,62.78,81.03,97.79,1,12,1,62.87,29,18,0,0,79.85,Medium,High School,2800,3,High,High
81,16,Male,8,A,48.29,20.42,99.8,64.4,1,1,2,89.46,21,6,7,1,52.99,Medium,Graduate,5266,0,High,High
82,13,Male,9,A,68.44,89.9,34.86,30.07,1,18,1,92.32,49,2,8,0,81.04,High,High School,3846,1,High,Low
83,14,Female,10,D,73.36,96.45,80.39,77.05,1,11,1,60.65,34,7,1,4,71.6,Low,High School,7053,2,Medium,High
84,17,Male,8,A,49.2,36.18,69.38,58.14,1,13,2,58.26,16,14,9,2,84.7,High,Graduate,2691,1,High,High
85,16,Male,11,A,87.88,87.38,62.5,37.97,1,8,1,89.96,38,5,5,0,64.12,Medium,Post-Graduate,7076,2,High,Low
86,12,Female,8,C,41.5,97.86,97.32,95.49,1,9,1,85.87,23,8,5,0,80.96,Low,Post-Graduate,8695,2,Medium,High
87,15,Female,9,A,30.06,46.16,45.82,37.96,1,6,1,78.16,41,16,6,0,89.85,Low,High School,7593,1,Medium,High
88,10,Male,7,A,96.67,34.8,34.16,27.81,1,8,0,72.9,25,0,6,2,55.18,High,High School,4796,1,Medium,High
89,13,Female,9,A,57.41,98.2,90.21,36.46,1,14,1,93.76,22,17,2,1,83.88,High,High School,5938,2,Low,Low
90,11,Male,8,A,97.02,24.78,25.5,92.95,1,19,1,63.97,4,13,0,1,98.51,Medium,Post-Graduate,6378,3,Medium,High
91,17,Male,8,D,49.46,42.08,85.37,88.62,1,14,3,82.38,8,14,7,1,93.79,Low,Graduate,9079,1,High,High
92,13,Male,7,D,34.44,79.36,67.14,91.55,1,10,1,96.5,33,19,6,0,57.22,Medium,High School,2018,0,High,High
93,11,Female,6,D,84.08,69.39,33.12,93.29,1,17,3,58.6,47,12,2,3,72.35,High,Post-Graduate,7011,2,Medium,High
94,15,Male,7,A,88.51,74.76,38.19,26.2,1,1,2,59.66,36,8,6,2,61.94,Medium,Post-Graduate,8984,1,Medium,High
95,15,Male,6,D,64.45,76.65,32.47,76.91,1,19,2,55.94,7,4,9,2,53.59,Medium,High School,4379,1,High,High
96,15,Male,11,B,35.17,74.89,77.47,73.16,1,18,3,63.35,39,17,6,4,89.51,Medium,Illiterate,5637,3,Medium,High
97,11,Female,8,B,75.79,47.38,31.78,99.43,1,1,2,78.44,14,8,4,2,91.54,Low,Graduate,6879,2,Medium,High
98,13,Male,10,B,42.75,44.92,74.51,77.17,1,19,2,66.47,25,8,8,1,82.77,Low,High School,3426,2,High,High
99,15,Male,10,C,89.46,54.28,30.25,83.36,1,12,0,77.97,24,6,0,1,54.56,Low,High School,3221,1,Medium,Low
